1000 8433
711 967 0.06746
710 785 0.07443
710 817 0.04993
710 820 0.04559
710 912 0.05282
710 931 0.04018
710 935 0.07487
710 943 0.06303
710 945 0.03974
709 711 0.03779
709 835 0.03413
709 862 0.07156
708 744 0.04019
708 795 0.05222
708 858 0.05254
708 977 0.04214
708 992 0.02000
707 728 0.04424
707 762 0.03709
707 778 0.06898
707 799 0.06115
707 825 0.01974
707 905 0.05591
707 939 0.06829
707 953 0.05699
706 766 0.04878
706 833 0.05198
706 888 0.02755
706 947 0.06759
706 959 0.04362
706 998 0.06684
705 719 0.05844
705 768 0.05830
705 781 0.03327
705 802 0.06161
705 896 0.04335
705 914 0.04586
705 983 0.01262
705 988 0.05764
704 723 0.03215
704 819 0.02229
704 904 0.01174
704 923 0.05843
704 946 0.04726
704 948 0.04997
704 987 0.03935
704 990 0.04199
703 747 0.06998
703 798 0.05474
703 859 0.02139
703 871 0.05767
703 891 0.04967
702 775 0.01987
702 789 0.03250
702 836 0.06134
702 839 0.02290
702 899 0.06461
702 973 0.07479
702 984 0.01014
702 986 0.04293
701 706 0.04485
701 736 0.04935
701 757 0.05647
701 766 0.02162
701 833 0.05846
701 888 0.03665
701 959 0.05936
700 816 0.03133
700 846 0.05517
700 918 0.03786
700 927 0.03212
700 946 0.05311
700 952 0.07309
700 990 0.07029
700 994 0.07025
699 743 0.04232
699 750 0.03982
699 792 0.01228
699 848 0.03874
699 893 0.03759
698 734 0.05696
698 755 0.04935
698 791 0.03252
698 867 0.05501
697 746 0.03649
697 763 0.05642
697 793 0.02597
697 832 0.03589
697 842 0.06208
697 866 0.05834
697 975 0.03656
697 978 0.05857
696 721 0.04690
696 745 0.07130
696 829 0.03757
696 841 0.01585
696 930 0.04473
696 996 0.06293
695 796 0.06794
695 834 0.04857
694 705 0.05397
694 719 0.04583
694 896 0.01459
694 983 0.05846
692 823 0.05783
692 843 0.01188
692 863 0.05533
692 876 0.01581
691 705 0.02573
691 719 0.07025
691 768 0.03515
691 781 0.00798
691 802 0.04746
691 896 0.06862
691 908 0.07471
691 914 0.04690
691 983 0.02004
691 988 0.04669
690 700 0.05677
690 816 0.02886
690 846 0.02629
690 918 0.07284
690 952 0.05896
689 733 0.03240
689 862 0.04562
689 961 0.07337
689 967 0.01970
689 991 0.06467
688 957 0.01876
687 689 0.03419
687 733 0.02318
687 862 0.02313
687 967 0.02784
686 746 0.06969
686 763 0.02792
686 793 0.06712
686 844 0.02113
686 866 0.01985
686 924 0.03321
686 975 0.03958
686 978 0.02242
685 699 0.03660
685 743 0.07260
685 750 0.04607
685 782 0.06611
685 792 0.04882
685 848 0.02321
685 893 0.07378
684 712 0.02121
684 744 0.05983
684 795 0.06598
684 865 0.03220
684 916 0.00238
684 950 0.04815
683 745 0.04527
683 829 0.06846
683 902 0.03443
683 928 0.03707
682 691 0.04877
682 694 0.03708
682 705 0.02318
682 719 0.05976
682 781 0.05607
682 896 0.02355
682 914 0.05328
682 983 0.03371
682 988 0.07179
681 729 0.05866
681 812 0.02220
681 831 0.02144
681 910 0.05729
681 976 0.04418
680 853 0.04265
680 877 0.05428
680 882 0.06175
680 895 0.06986
679 842 0.06414
679 873 0.06982
678 718 0.05657
678 752 0.03696
678 767 0.05793
678 801 0.03326
678 860 0.00968
678 932 0.02502
678 934 0.00755
677 803 0.06430
677 850 0.06806
677 954 0.03897
676 700 0.05957
676 734 0.02359
676 791 0.06615
676 918 0.04056
676 927 0.03191
676 994 0.07107
675 703 0.06384
675 840 0.06577
675 883 0.07132
675 891 0.01433
675 926 0.06757
675 952 0.06140
674 882 0.06983
674 895 0.06721
674 897 0.02401
674 913 0.06242
674 933 0.02031
674 944 0.03101
674 947 0.00895
674 974 0.05863
674 998 0.03548
673 754 0.05750
673 774 0.04756
673 847 0.05792
672 776 0.05188
672 784 0.05306
672 808 0.02177
672 824 0.06449
672 850 0.06834
672 901 0.07154
672 906 0.02983
672 919 0.02239
672 929 0.04644
672 949 0.03929
672 982 0.05021
671 704 0.05711
671 723 0.02513
671 819 0.03577
671 846 0.05273
671 881 0.05764
671 904 0.06597
671 923 0.02098
671 946 0.03222
671 987 0.07197
671 990 0.01763
670 851 0.06226
670 869 0.06549
670 921 0.04352
670 989 0.04525
668 728 0.06553
668 821 0.04519
668 894 0.05596
668 965 0.04237
667 689 0.06121
667 715 0.03044
667 938 0.01885
667 961 0.06039
667 991 0.02247
666 791 0.07078
666 851 0.06005
666 867 0.03883
666 921 0.07113
666 985 0.06833
666 989 0.05405
665 679 0.07029
665 697 0.04978
665 746 0.07325
665 793 0.06693
665 832 0.01527
665 842 0.01286
664 908 0.07145
664 914 0.07400
664 928 0.06668
664 988 0.05801
663 837 0.05534
663 889 0.03370
663 961 0.06061
663 996 0.05808
662 695 0.01820
662 834 0.06672
661 735 0.04710
661 764 0.06771
661 865 0.06570
661 950 0.07030
661 972 0.07109
660 716 0.04919
660 828 0.06700
660 955 0.03227
659 696 0.05493
659 721 0.01631
659 787 0.02895
659 841 0.07073
659 870 0.07333
658 720 0.03711
658 864 0.04973
657 753 0.07429
657 853 0.06765
657 878 0.02142
657 920 0.03299
657 922 0.06862
657 981 0.05247
656 790 0.03902
656 861 0.05523
656 897 0.06560
656 913 0.06196
656 933 0.06883
656 944 0.04598
656 974 0.02202
655 738 0.02002
655 741 0.02270
655 826 0.06325
655 868 0.03318
655 876 0.07213
655 940 0.02842
654 676 0.04233
654 734 0.06293
654 927 0.04429
653 822 0.07418
653 879 0.01654
653 941 0.06094
651 665 0.06809
651 679 0.01960
651 832 0.07369
651 842 0.06548
650 719 0.03977
650 797 0.02281
650 802 0.04142
650 830 0.07001
650 983 0.06776
649 660 0.03569
649 716 0.01729
649 917 0.07061
649 935 0.04841
649 943 0.04415
649 945 0.06152
649 955 0.06685
648 725 0.05860
648 855 0.06672
648 884 0.00957
648 911 0.05928
648 925 0.03707
648 960 0.05456
647 682 0.05737
647 694 0.05349
647 896 0.04763
646 668 0.05698
646 937 0.02537
646 965 0.07465
645 717 0.07273
645 748 0.01279
645 758 0.06882
645 783 0.04081
645 807 0.05115
645 972 0.07153
644 699 0.06239
644 743 0.04821
644 774 0.06337
644 792 0.05038
644 893 0.02568
643 672 0.02405
643 776 0.04919
643 784 0.02997
643 808 0.04543
643 850 0.06256
643 906 0.02399
643 919 0.03907
643 929 0.05533
643 949 0.01575
643 982 0.06983
642 691 0.03426
642 705 0.05999
642 768 0.02040
642 781 0.02702
642 802 0.04732
642 908 0.04583
642 914 0.06630
642 983 0.05270
642 988 0.05223
641 702 0.06993
641 775 0.05464
641 789 0.06839
641 839 0.06965
641 869 0.07442
641 899 0.00887
641 909 0.03025
641 966 0.01670
641 968 0.07483
641 984 0.07050
641 995 0.02935
640 673 0.04343
640 847 0.05147
639 750 0.06986
639 782 0.07158
639 794 0.01970
639 885 0.06322
639 937 0.05124
638 782 0.03244
638 794 0.06591
638 849 0.06813
638 951 0.02188
637 688 0.02869
637 957 0.03023
636 724 0.01460
636 749 0.06813
636 786 0.04163
636 887 0.02338
636 892 0.04921
636 898 0.03930
636 917 0.03332
635 645 0.03319
635 748 0.02512
635 783 0.04224
635 807 0.05602
635 972 0.07216
634 701 0.03277
634 706 0.07491
634 736 0.01703
634 757 0.02371
634 766 0.02967
634 833 0.06730
634 888 0.05739
634 890 0.07269
634 959 0.07364
633 709 0.02361
633 711 0.05232
633 733 0.06759
633 835 0.04605
633 862 0.05853
632 710 0.07461
632 718 0.07412
632 767 0.05661
632 806 0.07044
632 817 0.02621
632 912 0.05391
632 922 0.06061
632 935 0.07099
632 943 0.07002
632 945 0.05607
632 997 0.05954
631 662 0.05115
631 695 0.03523
631 796 0.03511
631 834 0.03167
630 667 0.06872
630 715 0.07176
630 857 0.05441
630 938 0.05095
629 740 0.06754
629 749 0.05259
629 760 0.03847
629 771 0.03281
629 811 0.06102
629 917 0.07468
628 641 0.07199
628 869 0.03298
628 909 0.04255
628 921 0.06769
628 966 0.06725
628 968 0.03915
628 995 0.06996
627 671 0.06704
627 723 0.07169
627 803 0.06111
627 819 0.07435
627 881 0.00958
627 923 0.04674
627 969 0.01428
627 987 0.07195
626 683 0.03152
626 696 0.07034
626 745 0.01588
626 829 0.05685
626 841 0.06582
626 902 0.02176
626 928 0.06384
625 669 0.06062
625 796 0.06463
624 753 0.01989
624 767 0.05996
624 860 0.06664
624 890 0.05350
624 907 0.01901
624 922 0.06248
624 934 0.06903
624 981 0.04101
623 693 0.04175
622 644 0.03944
622 743 0.03885
622 792 0.06476
622 893 0.05254
621 663 0.03988
621 829 0.05414
621 837 0.02746
621 841 0.06929
621 889 0.04545
621 930 0.07483
621 996 0.02250
620 659 0.04795
620 721 0.05559
620 787 0.03132
620 842 0.07048
620 870 0.04664
619 624 0.02226
619 678 0.05384
619 753 0.03587
619 767 0.04699
619 801 0.06202
619 860 0.04453
619 890 0.05453
619 907 0.02929
619 922 0.07391
619 934 0.04678
619 981 0.05808
618 657 0.06121
618 680 0.04865
618 853 0.00644
618 877 0.05459
618 895 0.07019
618 920 0.03512
617 649 0.06132
617 660 0.06181
617 710 0.03218
617 820 0.06342
617 828 0.06678
617 931 0.06914
617 935 0.07242
617 943 0.05985
617 945 0.04767
617 955 0.06814
616 622 0.06957
616 644 0.05398
616 673 0.04430
616 754 0.05256
616 774 0.03116
615 620 0.03388
615 651 0.05909
615 665 0.06111
615 679 0.04357
615 787 0.06496
615 842 0.04911
615 870 0.07129
614 628 0.04967
614 641 0.04053
614 869 0.03707
614 899 0.04037
614 909 0.03232
614 966 0.04854
614 968 0.07364
614 995 0.02233
613 626 0.03668
613 659 0.06532
613 683 0.06791
613 696 0.04831
613 721 0.06980
613 745 0.02837
613 829 0.05739
613 841 0.05246
613 902 0.04926
612 650 0.03931
612 682 0.07050
612 694 0.05193
612 705 0.07022
612 719 0.01180
612 797 0.06077
612 802 0.06767
612 896 0.06070
612 983 0.06432
611 617 0.06967
611 649 0.03533
611 660 0.07013
611 716 0.03204
611 811 0.05392
611 935 0.01385
611 943 0.01694
611 945 0.04263
610 643 0.05527
610 751 0.05045
610 765 0.07124
610 784 0.04416
610 906 0.05311
610 949 0.04002
610 980 0.05774
609 690 0.05841
609 846 0.05547
609 957 0.06823
608 654 0.02109
608 676 0.06313
608 756 0.06987
608 927 0.05904
608 963 0.07346
607 692 0.05836
607 823 0.00245
607 843 0.06172
607 863 0.06745
607 876 0.04927
607 900 0.02134
606 702 0.02127
606 775 0.03192
606 789 0.02935
606 836 0.04255
606 839 0.02078
606 973 0.06786
606 984 0.01612
606 986 0.02191
605 618 0.01527
605 657 0.06865
605 680 0.04004
605 853 0.01418
605 877 0.04006
605 882 0.06755
605 895 0.05625
605 920 0.04762
604 772 0.03606
604 844 0.07212
604 924 0.07076
603 636 0.07031
603 724 0.05979
603 777 0.07035
603 786 0.03900
603 875 0.05973
603 887 0.04874
603 892 0.07374
603 898 0.05894
603 964 0.01109
602 707 0.04589
602 727 0.05011
602 728 0.07365
602 761 0.05012
602 762 0.02819
602 778 0.06355
602 799 0.06654
602 825 0.04367
602 939 0.04752
602 953 0.03248
601 663 0.06132
601 667 0.05773
601 715 0.04618
601 837 0.06320
601 938 0.06893
601 961 0.01253
601 991 0.03529
600 636 0.03194
600 724 0.04529
600 786 0.04947
600 858 0.04867
600 887 0.04055
600 892 0.03098
600 898 0.07090
600 917 0.05084
600 977 0.05962
599 612 0.03606
599 647 0.06952
599 650 0.07108
599 682 0.04594
599 694 0.01620
599 705 0.05707
599 719 0.03134
599 896 0.02796
599 983 0.05808
598 599 0.05085
598 612 0.01714
598 650 0.03878
598 694 0.06704
598 719 0.02849
598 797 0.05620
597 652 0.05752
597 681 0.06485
597 831 0.06352
597 910 0.07097
597 976 0.06943
596 666 0.07153
596 676 0.07213
596 698 0.02462
596 734 0.05265
596 755 0.07376
596 791 0.00908
596 867 0.04312
595 735 0.03988
595 777 0.06885
595 875 0.06627
595 950 0.07005
595 956 0.07432
594 605 0.05818
594 618 0.06888
594 674 0.07436
594 853 0.07122
594 877 0.03064
594 882 0.05455
594 895 0.02342
594 897 0.06336
594 913 0.06780
593 754 0.05620
593 847 0.03154
592 726 0.04231
592 731 0.05417
592 769 0.03596
592 838 0.06872
592 880 0.02555
591 648 0.06250
591 725 0.07284
591 755 0.06030
591 840 0.04577
591 855 0.00450
591 883 0.06999
591 884 0.05635
591 911 0.05544
591 925 0.05863
591 926 0.05133
591 960 0.07360
590 666 0.04386
590 670 0.07450
590 851 0.01820
590 910 0.04648
590 921 0.07211
590 976 0.05868
590 985 0.07021
590 989 0.05116
589 593 0.06860
589 640 0.02605
589 673 0.06026
589 847 0.03715
588 642 0.02488
588 682 0.07307
588 691 0.03091
588 705 0.05249
588 768 0.00731
588 781 0.02374
588 802 0.06602
588 908 0.04686
588 914 0.04343
588 983 0.05050
588 988 0.02736
587 703 0.06182
587 726 0.05461
587 731 0.06637
587 798 0.04194
587 818 0.02333
587 859 0.04099
587 871 0.03492
587 883 0.07323
587 962 0.05281
586 662 0.02886
586 695 0.04682
585 608 0.02226
585 654 0.01576
585 676 0.05181
585 734 0.06899
585 927 0.05948
584 661 0.03945
584 722 0.07492
584 764 0.03370
584 783 0.05720
584 807 0.05190
584 972 0.03552
583 595 0.04622
583 603 0.07433
583 777 0.06847
583 875 0.02036
583 956 0.04477
583 964 0.06548
582 638 0.06966
582 685 0.04948
582 737 0.05213
582 782 0.05527
582 848 0.05320
582 951 0.05480
581 650 0.06303
581 797 0.04121
581 802 0.06735
581 830 0.05236
581 874 0.04667
581 886 0.04236
581 894 0.06668
580 619 0.05193
580 624 0.04101
580 632 0.06641
580 657 0.06964
580 753 0.05719
580 767 0.05405
580 806 0.07095
580 878 0.05694
580 907 0.05949
580 922 0.02210
580 981 0.01734
580 997 0.05467
579 598 0.00969
579 599 0.04989
579 612 0.02163
579 650 0.04846
579 694 0.06595
579 719 0.03340
579 797 0.06533
578 587 0.06538
578 675 0.06579
578 840 0.03283
578 859 0.07298
578 883 0.00993
578 891 0.06576
578 911 0.03841
578 925 0.06228
578 960 0.05329
577 610 0.02641
577 643 0.05999
577 751 0.02439
577 784 0.06166
577 870 0.05502
577 906 0.04669
577 929 0.06360
577 949 0.04861
577 980 0.06990
576 785 0.02258
576 820 0.04203
576 931 0.05481
576 958 0.03597
575 601 0.03667
575 621 0.04468
575 663 0.05164
575 715 0.06097
575 837 0.02679
575 961 0.04674
575 991 0.06359
575 996 0.06509
574 609 0.04552
574 671 0.05594
574 690 0.02773
574 700 0.06496
574 816 0.04757
574 846 0.00999
574 923 0.07080
574 946 0.06605
574 990 0.06717
573 610 0.06635
573 677 0.06755
573 759 0.07111
573 780 0.06289
573 784 0.06219
