250 1273
124 165 0.05177
124 171 0.08584
124 172 0.04713
124 180 0.03552
124 197 0.10321
124 213 0.03033
124 235 0.10482
123 175 0.07983
123 246 0.10306
122 139 0.01217
122 156 0.05505
122 196 0.05144
122 205 0.00647
122 207 0.11241
122 210 0.08536
122 214 0.07516
122 219 0.05638
122 221 0.09525
121 158 0.08749
121 170 0.03464
121 182 0.03939
121 198 0.07031
121 223 0.04530
121 242 0.09371
120 145 0.09428
120 161 0.09789
120 229 0.08292
119 120 0.10342
119 134 0.04953
119 137 0.09676
119 145 0.05361
119 146 0.07143
119 227 0.07465
118 124 0.06300
118 142 0.11650
118 151 0.10687
118 155 0.07746
118 165 0.08159
118 172 0.08663
118 180 0.07699
118 184 0.11388
118 197 0.06902
118 208 0.10634
118 213 0.09204
117 140 0.10873
117 147 0.11794
117 167 0.09427
117 178 0.06290
117 236 0.08473
116 164 0.04060
116 190 0.07925
116 194 0.08583
116 220 0.08021
116 247 0.07638
115 153 0.05126
115 228 0.08124
115 241 0.06730
114 163 0.05526
114 176 0.08339
114 191 0.10158
114 202 0.07319
114 204 0.11526
114 209 0.07685
114 211 0.06713
114 222 0.02060
114 225 0.11896
113 121 0.05379
113 158 0.09842
113 170 0.07229
113 182 0.08536
113 198 0.05009
113 223 0.04665
113 242 0.05551
112 128 0.09960
112 136 0.05632
112 159 0.04347
112 234 0.08047
112 239 0.10722
110 122 0.05351
110 139 0.06016
110 156 0.03963
110 196 0.05323
110 205 0.05391
110 207 0.11522
110 210 0.08364
110 212 0.11550
110 214 0.02920
110 219 0.04680
110 221 0.11114
109 126 0.09332
109 137 0.05083
109 146 0.08420
109 183 0.06517
109 215 0.06179
109 218 0.07179
108 110 0.06803
108 122 0.08214
108 135 0.11644
108 139 0.07724
108 156 0.10525
108 181 0.10766
108 196 0.03132
108 205 0.08755
108 214 0.09401
108 219 0.11157
107 130 0.11436
107 173 0.08976
107 200 0.08254
107 203 0.11594
106 123 0.11362
106 131 0.02227
106 143 0.06821
106 179 0.11930
106 193 0.02119
106 243 0.10940
106 246 0.11883
105 106 0.01034
105 123 0.10392
105 131 0.03234
105 143 0.07217
105 193 0.03141
105 243 0.11674
105 246 0.11604
104 144 0.08161
104 185 0.07936
104 201 0.02597
104 217 0.09568
104 232 0.04888
104 248 0.06640
103 174 0.03708
103 192 0.04287
103 243 0.05731
102 138 0.09831
102 187 0.09374
102 226 0.07775
102 240 0.11740
101 108 0.05491
101 110 0.07783
101 122 0.05090
101 125 0.10521
101 139 0.03983
101 156 0.09930
101 157 0.10869
101 181 0.10336
101 196 0.03115
101 205 0.05734
101 214 0.10662
101 219 0.10279
100 103 0.06580
100 133 0.08099
100 174 0.06827
100 192 0.07056
99 129 0.10765
99 140 0.05150
99 147 0.03171
99 162 0.06455
98 117 0.11425
98 178 0.05183
98 236 0.04433
97 144 0.07138
97 160 0.08756
97 168 0.10904
97 176 0.10973
97 185 0.07779
97 191 0.11562
97 202 0.08870
97 204 0.04951
97 225 0.05664
97 231 0.10938
97 248 0.08598
96 199 0.01569
96 237 0.06553
95 115 0.09423
95 153 0.11710
95 216 0.11785
94 141 0.08070
94 198 0.09053
94 242 0.09095
93 97 0.07550
93 144 0.08371
93 160 0.04360
93 168 0.03641
93 176 0.10570
93 185 0.11051
93 187 0.07640
93 191 0.09704
93 202 0.11502
93 204 0.07908
93 226 0.11188
93 231 0.03594
93 248 0.09608
92 122 0.11702
92 132 0.07972
92 139 0.11349
92 171 0.08961
92 172 0.09296
92 205 0.11628
92 235 0.06040
91 109 0.06129
91 119 0.09388
91 134 0.09544
91 137 0.01061
91 145 0.11905
91 146 0.02723
91 218 0.04088
91 224 0.09863
91 227 0.06960
90 113 0.11828
90 173 0.06973
90 233 0.10517
90 242 0.10115
89 116 0.06089
89 127 0.10682
89 130 0.10584
89 164 0.07494
89 194 0.05110
88 98 0.08567
88 182 0.09779
87 111 0.11190
87 130 0.03684
87 136 0.10342
87 194 0.08273
87 234 0.08302
86 108 0.11578
86 135 0.10345
86 141 0.05640
85 152 0.10662
85 175 0.11147
85 246 0.09698
84 100 0.09532
84 103 0.05747
84 106 0.11963
84 131 0.10014
84 174 0.02770
84 179 0.06994
84 192 0.10034
84 193 0.09844
84 243 0.07221
83 95 0.11982
83 104 0.08511
83 201 0.09238
83 217 0.03695
83 232 0.06812
82 85 0.04344
82 152 0.06590
82 175 0.11914
82 207 0.10290
82 212 0.10888
82 244 0.09913
82 246 0.09265
81 119 0.08225
81 134 0.04508
81 146 0.11254
81 227 0.07588
81 229 0.10166
80 97 0.08938
80 149 0.09615
80 202 0.11386
80 204 0.10423
80 225 0.05577
79 84 0.09700
79 110 0.11633
79 174 0.10110
79 179 0.07431
79 212 0.11328
79 214 0.09294
78 112 0.10817
78 128 0.03633
78 138 0.09955
78 159 0.11389
78 239 0.02065
78 240 0.09536
77 78 0.10966
77 102 0.02737
77 138 0.07171
77 151 0.11765
77 187 0.10655
77 208 0.11848
77 226 0.08175
77 240 0.09031
76 95 0.07370
76 115 0.03658
76 153 0.04395
76 228 0.09469
76 241 0.08004
75 89 0.03394
75 116 0.02706
75 164 0.04846
75 190 0.10387
75 194 0.06452
75 220 0.09669
75 247 0.10191
74 109 0.10730
74 126 0.07749
74 183 0.05190
74 215 0.04643
73 120 0.10775
73 145 0.09149
72 107 0.11731
72 150 0.08210
72 177 0.06434
72 186 0.09359
72 189 0.03706
72 200 0.08158
72 203 0.03470
72 220 0.10329
72 249 0.07452
71 135 0.10448
71 148 0.09121
71 157 0.10574
71 181 0.08837
71 184 0.09326
71 188 0.03894
71 230 0.05108
71 233 0.07728
71 240 0.11683
70 79 0.01576
70 84 0.08129
70 100 0.11309
70 174 0.08574
70 179 0.06528
70 212 0.11795
70 214 0.10735
70 244 0.11957
69 107 0.05640
69 128 0.11896
69 173 0.05282
68 114 0.06736
68 160 0.10388
68 165 0.10769
68 176 0.04396
68 191 0.04982
68 202 0.07329
68 204 0.10336
68 222 0.06811
67 83 0.07338
67 112 0.11331
67 217 0.04501
66 149 0.07561
66 206 0.05154
66 209 0.11107
65 71 0.06843
65 125 0.10535
65 138 0.11370
65 148 0.07162
65 151 0.10304
65 157 0.08838
65 181 0.10922
65 184 0.04790
65 188 0.03552
65 197 0.09301
65 208 0.10677
65 230 0.05007
65 240 0.11415
64 91 0.04394
64 109 0.06144
64 119 0.06813
64 134 0.09237
64 137 0.03977
64 145 0.07791
64 146 0.04384
64 183 0.09898
64 215 0.11174
64 218 0.08298
64 227 0.08490
63 96 0.02231
63 199 0.01821
63 237 0.04962
62 71 0.10901
62 78 0.11140
62 90 0.08635
62 128 0.11744
62 138 0.09478
62 188 0.11357
62 233 0.03192
62 239 0.10804
62 240 0.07405
61 87 0.05163
61 89 0.09050
61 111 0.06739
61 130 0.06867
61 194 0.07466
61 234 0.10977
60 63 0.06637
60 96 0.05690
60 111 0.08712
60 199 0.04868
60 237 0.11595
59 80 0.06845
59 97 0.06442
59 144 0.08084
59 185 0.06135
59 204 0.10796
59 225 0.08326
59 248 0.08763
58 68 0.04795
58 114 0.01947
58 163 0.07425
58 176 0.06845
58 191 0.08507
58 202 0.06778
58 204 0.10891
58 209 0.09540
58 211 0.08501
58 222 0.02759
57 65 0.06750
57 118 0.08024
57 125 0.06349
57 148 0.06092
57 151 0.10773
57 157 0.06773
57 172 0.11673
57 181 0.11710
57 184 0.03368
57 188 0.10123
57 197 0.02583
57 208 0.11002
57 230 0.08049
56 73 0.05918
56 119 0.11916
56 120 0.05027
56 145 0.08552
56 161 0.11851
55 67 0.08505
55 78 0.08955
55 112 0.04590
55 128 0.09745
55 136 0.10111
55 159 0.08414
55 217 0.11852
55 239 0.09744
54 99 0.08037
54 117 0.08936
54 140 0.02922
54 147 0.07003
53 56 0.05542
53 73 0.10372
53 81 0.11179
53 119 0.07620
53 120 0.02782
53 134 0.10851
53 145 0.06902
53 229 0.09315
52 77 0.10533
52 93 0.09973
52 102 0.10130
52 151 0.03422
52 168 0.06388
52 187 0.03447
52 208 0.03135
52 226 0.02384
52 231 0.06392
51 70 0.07990
51 79 0.06984
51 86 0.10847
51 110 0.11491
51 133 0.11676
51 214 0.10713
50 59 0.04226
50 80 0.10173
50 97 0.10154
50 104 0.11784
50 144 0.08851
50 185 0.05942
50 201 0.09673
50 232 0.11667
50 248 0.08802
49 59 0.08296
49 80 0.08196
49 93 0.08739
49 97 0.03121
49 144 0.10234
49 160 0.08334
49 176 0.08610
49 185 0.10833
49 191 0.09628
49 202 0.05875
49 204 0.02568
49 222 0.10927
49 225 0.03314
49 248 0.11708
48 50 0.09958
48 83 0.08782
48 104 0.06005
48 144 0.11407
48 185 0.09500
48 201 0.03841
48 216 0.07531
48 217 0.11710
48 232 0.02109
48 248 0.10057
47 64 0.10444
47 91 0.06658
47 109 0.07505
47 137 0.06569
47 146 0.09071
47 167 0.11422
47 218 0.02914
47 224 0.05238
46 161 0.07892
46 169 0.06854
46 177 0.11118
46 186 0.07689
45 48 0.11127
45 67 0.06225
45 76 0.11037
45 83 0.02906
45 95 0.10135
45 104 0.11417
45 217 0.04535
45 232 0.09323
44 49 0.02107
44 59 0.09573
44 68 0.11930
44 80 0.10281
44 93 0.06793
44 97 0.03365
44 144 0.09765
44 160 0.06268
44 168 0.10433
44 176 0.07613
44 185 0.10945
44 191 0.08240
44 202 0.05971
44 204 0.01774
44 222 0.11370
44 225 0.05336
44 231 0.10384
44 248 0.11288
43 82 0.08576
43 152 0.08933
43 156 0.10122
43 207 0.02708
43 210 0.05763
43 212 0.07554
43 219 0.09405
43 221 0.03765
43 244 0.10274
42 86 0.09639
42 101 0.09688
42 108 0.06664
42 135 0.05008
42 141 0.08880
42 157 0.11467
42 181 0.06506
42 196 0.09113
41 81 0.11854
41 88 0.06374
41 121 0.07816
41 170 0.09973
41 182 0.03878
41 198 0.10323
40 75 0.07166
40 89 0.10329
40 116 0.05100
40 150 0.07051
40 164 0.03395
40 190 0.03649
40 194 0.10624
40 220 0.03150
40 247 0.07741
39 66 0.05590
39 80 0.10277
39 149 0.05382
39 206 0.10412
39 209 0.10654
39 211 0.11209
38 74 0.06907
38 109 0.09245
38 126 0.00845
38 183 0.08279
38 215 0.05290
37 76 0.02674
37 95 0.09352
37 115 0.01398
37 153 0.03846
37 228 0.07596
37 241 0.06139
36 41 0.05329
36 88 0.01841
36 98 0.08515
36 182 0.09055
35 36 0.08804
35 41 0.10606
35 88 0.07142
35 94 0.06254
35 141 0.11388
35 198 0.10645
34 53 0.08565
34 56 0.04399
34 73 0.01812
34 120 0.09075
34 145 0.07784
33 58 0.09102
33 114 0.08593
33 163 0.10678
33 222 0.10644
32 52 0.07988
32 77 0.11466
32 93 0.07410
32 102 0.09251
32 104 0.10076
32 144 0.07333
32 151 0.11408
32 160 0.11627
32 168 0.05434
32 185 0.10165
32 187 0.04594
32 201 0.11801
32 208 0.11121
32 226 0.07421
32 231 0.05700
32 248 0.07367
31 37 0.09487
31 115 0.08730
31 153 0.10769
31 228 0.07913
31 241 0.07871
30 43 0.10126
30 70 0.10835
30 79 0.10818
30 82 0.10926
30 143 0.08740
30 152 0.04565
30 156 0.11364
30 179 0.06570
30 207 0.08708
30 210 0.09124
30 212 0.03314
30 214 0.11280
30 219 0.11146
30 221 0.11496
30 244 0.01475
29 47 0.02921
29 64 0.10752
29 91 0.06429
29 109 0.09440
29 137 0.06803
29 146 0.08191
29 167 0.10821
29 218 0.02524
29 224 0.03477
29 227 0.10208
28 35 0.10487
28 41 0.10902
28 94 0.08477
28 113 0.05483
28 121 0.07801
28 170 0.10987
28 182 0.08584
28 198 0.00775
28 223 0.09677
28 242 0.02503
27 62 0.07419
27 65 0.07207
27 71 0.05107
27 138 0.07814
27 184 0.11544
27 188 0.03989
27 230 0.08817
27 233 0.04883
27 240 0.06581
26 55 0.09933
26 77 0.03854
26 78 0.09413
26 102 0.04190
26 138 0.09654
26 217 0.11910
26 226 0.11644
26 239 0.11461
26 240 0.11097
25 60 0.03405
25 63 0.09366
25 96 0.08879
25 111 0.05309
25 199 0.07779
24 39 0.07951
24 66 0.08457
24 80 0.11814
24 114 0.10397
24 149 0.02915
24 163 0.05034
24 206 0.09602
24 209 0.02802
24 211 0.03696
24 222 0.09835
24 225 0.11996
23 33 0.06032
23 58 0.07072
23 68 0.07437
23 114 0.07960
23 176 0.11709
23 195 0.08090
23 222 0.09692
22 34 0.03658
22 53 0.07033
22 56 0.01508
22 73 0.04871
22 120 0.06464
22 145 0.09324
21 27 0.01873
21 62 0.07424
21 65 0.07811
21 71 0.03782
21 138 0.09594
21 184 0.11666
21 188 0.04280
21 230 0.08276
21 233 0.04409
21 240 0.08207
20 40 0.07068
20 75 0.02897
20 89 0.05690
20 116 0.02095
20 127 0.11837
20 164 0.06088
20 190 0.09529
20 194 0.09349
20 220 0.10072
20 247 0.07725
19 70 0.06872
19 79 0.08364
19 84 0.03540
19 100 0.06397
19 103 0.05319
19 174 0.01925
19 179 0.08733
19 192 0.09085
19 243 0.09323
18 35 0.11609
18 51 0.11645
18 86 0.02813
18 94 0.11772
18 141 0.06466
17 41 0.10519
17 81 0.05763
17 121 0.09728
17 134 0.10171
17 158 0.10542
17 170 0.07756
17 182 0.09423
17 223 0.11337
17 229 0.06676
16 54 0.07406
16 98 0.11623
16 99 0.10210
16 117 0.05134
16 129 0.09325
16 140 0.07952
16 147 0.07171
16 166 0.11475
16 178 0.06981
16 236 0.07388
15 24 0.04507
15 39 0.09051
15 49 0.10519
15 58 0.10462
15 66 0.11797
15 80 0.08217
15 114 0.09104
15 149 0.04256
15 163 0.05589
15 202 0.08786
15 204 0.11074
15 209 0.04580
15 211 0.04000
15 222 0.07726
15 225 0.07498
14 18 0.07335
14 51 0.09603
14 86 0.09145
14 129 0.10737
14 133 0.06649
14 166 0.08096
13 19 0.08927
13 100 0.02560
13 103 0.08741
13 129 0.10843
13 133 0.06257
13 162 0.11602
13 174 0.09377
13 192 0.08128
12 28 0.06032
12 35 0.06079
12 36 0.08058
12 41 0.06364
12 88 0.07461
12 94 0.08239
12 113 0.09906
12 121 0.08542
12 170 0.11918
12 182 0.06361
12 198 0.05807
12 242 0.08457
11 30 0.08689
11 43 0.10208
11 82 0.03687
11 85 0.06928
11 143 0.08708
11 152 0.04140
11 175 0.09935
11 207 0.11101
11 212 0.09716
11 244 0.07397
11 246 0.06678
10 105 0.11028
10 106 0.11976
10 123 0.00886
10 175 0.07429
10 246 0.09977
9 23 0.03526
9 33 0.08216
9 58 0.10398
9 68 0.09604
9 114 0.11445
9 142 0.10955
9 195 0.04585
8 11 0.04709
8 30 0.03985
8 43 0.09334
8 82 0.07286
8 85 0.11331
8 143 0.07437
8 152 0.00702
8 179 0.09533
8 207 0.09011
8 210 0.10661
8 212 0.05604
8 221 0.11895
8 244 0.02711
8 246 0.09709
7 42 0.11616
7 57 0.06795
7 65 0.09235
7 71 0.11091
7 101 0.10577
7 125 0.02442
7 148 0.02175
7 157 0.00516
7 181 0.05778
7 184 0.04976
7 188 0.10982
7 197 0.06984
7 230 0.06107
6 16 0.04529
6 54 0.11235
6 98 0.09893
6 99 0.11022
6 117 0.08821
6 129 0.05363
6 140 0.10829
6 147 0.07924
6 166 0.06998
6 178 0.07007
6 236 0.05556
5 26 0.03351
5 32 0.11054
5 55 0.11131
5 67 0.10880
5 77 0.05505
5 102 0.03834
5 104 0.11574
5 217 0.09458
5 226 0.11433
4 5 0.11184
4 26 0.08347
4 55 0.06425
4 77 0.10733
4 78 0.02559
4 112 0.08751
4 128 0.04751
4 138 0.11375
4 159 0.10114
4 239 0.03883
4 240 0.11344
3 37 0.08512
3 45 0.11902
3 67 0.09725
3 76 0.08069
3 115 0.09861
3 153 0.04799
3 228 0.07635
3 241 0.07024
2 14 0.08765
2 18 0.07425
2 42 0.11456
2 51 0.05083
2 79 0.11759
2 86 0.05980
2 108 0.09627
2 110 0.11746
2 141 0.11373
1 72 0.06506
1 107 0.07484
1 130 0.10203
1 150 0.10908
1 164 0.11039
1 189 0.09582
1 194 0.11069
1 200 0.09550
1 203 0.08567
1 220 0.10428
0 15 0.05719
0 24 0.10191
0 44 0.06471
0 49 0.04849
0 58 0.09955
0 59 0.10657
0 68 0.11816
0 80 0.06821
0 97 0.07705
0 114 0.09610
0 149 0.09659
0 160 0.11714
0 163 0.09368
0 176 0.08927
0 191 0.10711
0 202 0.04678
0 204 0.05476
0 209 0.09511
0 211 0.08438
0 222 0.07573
0 225 0.02383
